respondent_id,date_created,date_modified,company-type,company-activity,company-years,position,seniority,founder,experience,main-programming-language,contract-type,workmode,work-time,currency,income-in-currency,extra-income-in-currency,stocks,stock-type,max-title,english-level,city
12918490552,08/25/2021 4:18:40 PM,08/25/2021 4:32:31 PM,Empresa extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",2 - 5,Software Engineer,Senior (Avanzado),Sí,5 - 10 años,JavaScript,Contratista internacional,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",40,Dólares,24000,0,0,No,Especialista,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Bogotá
12918466207,08/25/2021 3:51:25 PM,08/25/2021 4:26:12 PM,Empresa Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Analyst / Analista,Mid (intermedio),No,10 - 15 años,PHP,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",48,Pesos,2100000,0,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Pereira
12918487249,08/25/2021 4:17:07 PM,08/25/2021 4:25:57 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,5 - 10,Full Stack Developer/ Engineer,Mid (intermedio),Sí,5 - 10 años,JavaScript,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",45,Pesos,3000000,0,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Bogotá
12918359719,08/25/2021 3:14:02 PM,08/25/2021 3:25:26 PM,Empresa extranjera,Otro,5 - 10,CTO (Chief Technical Officer),Senior (Avanzado),No,10 - 15 años,Ruby,"Contrato a término indefinido con empresa local, pero trabajo para empresa extranjera","Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",40,Pesos,132000000,22000,0,Sí - stock options,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Manizales
12918346466,08/25/2021 3:08:49 PM,08/25/2021 3:20:42 PM,Empresa Colombiana con mercado Colombiano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Software Engineer,Mid (intermedio),No,3 - 5 años,PHP,Contrato a término fijo,Presencial (ocupa más del 60% de su tiempo en una oficina),40,Pesos,25200000,0,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Armenia
12918330719,08/25/2021 3:01:54 PM,08/25/2021 3:10:21 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Junior (Principiante),No,2+ años,C#,Contrato a término fijo,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",48,Pesos,24000000,0,0,No,Tecnólogo,Básico (puede leer documentación y código en inglés),Medellín
12918286032,08/25/2021 2:17:46 PM,08/25/2021 3:07:28 PM,Empresa extranjera,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",5 - 10,Full Stack Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contratista internacional,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",40,Dólares,26400,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Armenia
12918315743,08/25/2021 2:55:52 PM,08/25/2021 3:03:42 PM,Empresa Colombiana con mercado Colombiano,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Architect / Arquitecto de software,Mid (intermedio),No,2+ años,Java,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",48,Pesos,42000000,0,0,No,Pregrado,Básico (puede leer documentación y código en inglés),Manizales
12918311588,08/25/2021 2:54:15 PM,08/25/2021 3:03:41 PM,Empresa Colombiana con mercado latinoamericano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Full Stack Developer/ Engineer,Mid (intermedio),No,3 - 5 años,TypeScript,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,98280000,13600000,0,No,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Cali
12918304734,08/25/2021 2:51:11 PM,08/25/2021 2:58:05 PM,Empresa extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Mid (intermedio),No,3 - 5 años,JavaScript,Contrato a término indefinido,"Flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",40,Pesos,54000000,0,0,Sí - stock options,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Medellín
12918283569,08/25/2021 2:42:03 PM,08/25/2021 2:57:25 PM,Empresa extranjera,"Servicio o producto de tecnología (similar a Dropbox, GitHub, Stripe, Heroku o hardware)",1,Full Stack Developer/ Engineer,Senior (Avanzado),Sí,Más de 15 años,JavaScript,Contratista internacional,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",160,Dólares,46000,5000,150000,Sí - stock options,Pregrado,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Pereira
12918287479,08/25/2021 2:42:44 PM,08/25/2021 2:54:37 PM,Empresa Colombiana con mercado global,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Frontend Developer/ Engineer,Mid (intermedio),No,2+ años,TypeScript,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",35,Pesos,60000000,5000000,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Pereira
12918287342,08/25/2021 2:43:41 PM,08/25/2021 2:52:19 PM,Empresa extranjera,Consultoría y servicios de desarrollo de software a la medida,Más de 10,Software Engineer,Senior (Avanzado),No,Más de 15 años,PHP,Contratista internacional,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Dólares,36000,0,0,No,Especialista,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Pereira
12918225082,08/25/2021 2:16:49 PM,08/25/2021 2:52:14 PM,Empresa Colombiana con mercado latinoamericano,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Developer/ Engineer,Mid (intermedio),No,2+ años,Java,Contrato a término indefinido,"Teletrabajo (100% trabajo en casa, debido a que así lo indica el contrato)",40,Pesos,28800000,9600000,2400000,No,Tecnólogo,Ninguno,Armenia
12918277517,08/25/2021 2:37:15 PM,08/25/2021 2:51:29 PM,Empresa extranjera,"Servicio no tecnológico (banca, seguros, contabilidad, etc)",Más de 10,Software Engineer,Senior (Avanzado),No,10 - 15 años,TypeScript,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,72000000,0,0,No,Pregrado,Intermedio (puede pasar una entrevista de programación en ingles cómodamente),Envigado
12918222159,08/25/2021 2:15:29 PM,08/25/2021 2:49:52 PM,Empresa Colombiana con mercado global,"Servicio habilitado por tecnología (similar a domicilios.com, Uber, Tappsi, Bunny inc, Etsy, e-commerce)",2 - 5,Otro,Senior (Avanzado),No,10 - 15 años,JavaScript,Contrato a término indefinido,"Remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un Café)",40,Pesos,139200000,28800000,0,Sí - stock options,Bachiller,Avanzado (puede liderar una reunion de varias personas en ingles cómodamente),Armenia
